"filename", "language", "JavaScript", "Vue", "CSS", "XML", "JSON", "comment", "blank", "total"
"c:\Users\imado\Documents\Housing-Editor\housing-editor-frontend\src\App.vue", "Vue", 0, 57, 0, 0, 0, 0, 3, 60
"c:\Users\imado\Documents\Housing-Editor\housing-editor-frontend\src\assets\about\instagram-3814059.svg", "XML", 0, 0, 0, 2, 0, 0, 0, 2
"c:\Users\imado\Documents\Housing-Editor\housing-editor-frontend\src\assets\about\pattern-369543.svg", "XML", 0, 0, 0, 140, 0, 0, 0, 140
"c:\Users\imado\Documents\Housing-Editor\housing-editor-frontend\src\assets\about\the-background-292720.svg", "XML", 0, 0, 0, 33, 0, 0, 1, 34
"c:\Users\imado\Documents\Housing-Editor\housing-editor-frontend\src\assets\logo\logo.svg", "XML", 0, 0, 0, 19, 0, 0, 0, 19
"c:\Users\imado\Documents\Housing-Editor\housing-editor-frontend\src\assets\minecraft-items\items.json", "JSON", 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\imado\Documents\Housing-Editor\housing-editor-frontend\src\blockly\renderer.js", "JavaScript", 20, 0, 0, 0, 0, 35, 9, 64
"c:\Users\imado\Documents\Housing-Editor\housing-editor-frontend\src\blockly\style.css", "CSS", 0, 0, 10, 0, 0, 0, 2, 12
"c:\Users\imado\Documents\Housing-Editor\housing-editor-frontend\src\blockly\theme.js", "JavaScript", 39, 0, 0, 0, 0, 0, 1, 40
"c:\Users\imado\Documents\Housing-Editor\housing-editor-frontend\src\blocks\actions\conditionals.js", "JavaScript", 366, 0, 0, 0, 0, 34, 53, 453
"c:\Users\imado\Documents\Housing-Editor\housing-editor-frontend\src\blocks\actions\health.js", "JavaScript", 60, 0, 0, 0, 0, 0, 18, 78
"c:\Users\imado\Documents\Housing-Editor\housing-editor-frontend\src\blocks\actions\inventory.vue", "Vue", 0, 107, 0, 0, 0, 4, 7, 118
"c:\Users\imado\Documents\Housing-Editor\housing-editor-frontend\src\blocks\actions\messages.js", "JavaScript", 195, 0, 0, 0, 0, 54, 30, 279
"c:\Users\imado\Documents\Housing-Editor\housing-editor-frontend\src\blocks\actions\misc.js", "JavaScript", 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\imado\Documents\Housing-Editor\housing-editor-frontend\src\blocks\actions\parkour.js", "JavaScript", 27, 0, 0, 0, 0, 0, 5, 32
"c:\Users\imado\Documents\Housing-Editor\housing-editor-frontend\src\blocks\actions\potion_effects.js", "JavaScript", 63, 0, 0, 0, 0, 0, 5, 68
"c:\Users\imado\Documents\Housing-Editor\housing-editor-frontend\src\blocks\actions\start_block.js", "JavaScript", 15, 0, 0, 0, 0, 1, 1, 17
"c:\Users\imado\Documents\Housing-Editor\housing-editor-frontend\src\blocks\actions\teleport.js", "JavaScript", 76, 0, 0, 0, 0, 0, 12, 88
"c:\Users\imado\Documents\Housing-Editor\housing-editor-frontend\src\blocks\items\item.vue", "Vue", 0, 46, 0, 0, 0, 4, 8, 58
"c:\Users\imado\Documents\Housing-Editor\housing-editor-frontend\src\blocks\items\right_click_action.js", "JavaScript", 14, 0, 0, 0, 0, 1, 1, 16
"c:\Users\imado\Documents\Housing-Editor\housing-editor-frontend\src\components\about\ThreeJSParallax1.vue", "Vue", 0, 61, 0, 0, 0, 0, 10, 71
"c:\Users\imado\Documents\Housing-Editor\housing-editor-frontend\src\components\about\VideoParallax1.vue", "Vue", 0, 32, 0, 0, 0, 0, 2, 34
"c:\Users\imado\Documents\Housing-Editor\housing-editor-frontend\src\components\about\VideoParallax2.vue", "Vue", 0, 32, 0, 0, 0, 0, 2, 34
"c:\Users\imado\Documents\Housing-Editor\housing-editor-frontend\src\components\about\VideoParallax3.vue", "Vue", 0, 32, 0, 0, 0, 0, 2, 34
"c:\Users\imado\Documents\Housing-Editor\housing-editor-frontend\src\components\actions\ActionCard.vue", "Vue", 0, 138, 0, 0, 0, 3, 15, 156
"c:\Users\imado\Documents\Housing-Editor\housing-editor-frontend\src\components\actions\ActionDetail.vue", "Vue", 0, 121, 0, 0, 0, 5, 12, 138
"c:\Users\imado\Documents\Housing-Editor\housing-editor-frontend\src\components\actions\EditActionNav.vue", "Vue", 0, 87, 0, 0, 0, 3, 3, 93
"c:\Users\imado\Documents\Housing-Editor\housing-editor-frontend\src\components\actions\EditActionWorkspace.vue", "Vue", 0, 123, 0, 0, 0, 6, 6, 135
"c:\Users\imado\Documents\Housing-Editor\housing-editor-frontend\src\components\blockly\BlocklyComponent.vue", "Vue", 0, 49, 0, 0, 0, 0, 3, 52
"c:\Users\imado\Documents\Housing-Editor\housing-editor-frontend\src\components\engagement\CommentSection.vue", "Vue", 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\imado\Documents\Housing-Editor\housing-editor-frontend\src\components\engagement\LikeButton.vue", "Vue", 0, 56, 0, 0, 0, 1, 3, 60
"c:\Users\imado\Documents\Housing-Editor\housing-editor-frontend\src\components\items\EditItemNav.vue", "Vue", 0, 31, 0, 0, 0, 2, 2, 35
"c:\Users\imado\Documents\Housing-Editor\housing-editor-frontend\src\components\items\EditItemWorkspace.vue", "Vue", 0, 83, 0, 0, 0, 0, 5, 88
"c:\Users\imado\Documents\Housing-Editor\housing-editor-frontend\src\components\items\ItemCard.vue", "Vue", 0, 157, 0, 0, 0, 3, 16, 176
"c:\Users\imado\Documents\Housing-Editor\housing-editor-frontend\src\components\items\ItemPreview.vue", "Vue", 0, 69, 0, 0, 0, 1, 4, 74
"c:\Users\imado\Documents\Housing-Editor\housing-editor-frontend\src\components\items\SelectItem.vue", "Vue", 0, 44, 0, 0, 0, 0, 2, 46
"c:\Users\imado\Documents\Housing-Editor\housing-editor-frontend\src\components\login\RandomBackground.vue", "Vue", 0, 21, 0, 0, 0, 0, 2, 23
"c:\Users\imado\Documents\Housing-Editor\housing-editor-frontend\src\components\misc\CustomSnackbar.vue", "Vue", 0, 41, 0, 0, 0, 0, 2, 43
"c:\Users\imado\Documents\Housing-Editor\housing-editor-frontend\src\components\misc\GoBack.vue", "Vue", 0, 14, 0, 0, 0, 0, 1, 15
"c:\Users\imado\Documents\Housing-Editor\housing-editor-frontend\src\components\misc\NavigationBar.vue", "Vue", 0, 63, 0, 0, 0, 6, 7, 76
"c:\Users\imado\Documents\Housing-Editor\housing-editor-frontend\src\components\misc\PageFooter.vue", "Vue", 0, 45, 0, 0, 0, 2, 1, 48
"c:\Users\imado\Documents\Housing-Editor\housing-editor-frontend\src\components\misc\TipTap.vue", "Vue", 0, 424, 0, 0, 0, 8, 68, 500
"c:\Users\imado\Documents\Housing-Editor\housing-editor-frontend\src\components\profile\RandomBanner.vue", "Vue", 0, 18, 0, 0, 0, 0, 2, 20
"c:\Users\imado\Documents\Housing-Editor\housing-editor-frontend\src\main.js", "JavaScript", 27, 0, 0, 0, 0, 1, 6, 34
"c:\Users\imado\Documents\Housing-Editor\housing-editor-frontend\src\plugins\vuetify.js", "JavaScript", 27, 0, 0, 0, 0, 0, 3, 30
"c:\Users\imado\Documents\Housing-Editor\housing-editor-frontend\src\router\index.js", "JavaScript", 68, 0, 0, 0, 0, 0, 6, 74
"c:\Users\imado\Documents\Housing-Editor\housing-editor-frontend\src\store\index.js", "JavaScript", 15, 0, 0, 0, 0, 0, 3, 18
"c:\Users\imado\Documents\Housing-Editor\housing-editor-frontend\src\views\actions\ActionCatalog.vue", "Vue", 0, 80, 0, 0, 0, 0, 5, 85
"c:\Users\imado\Documents\Housing-Editor\housing-editor-frontend\src\views\actions\EditAction.vue", "Vue", 0, 117, 0, 0, 0, 1, 13, 131
"c:\Users\imado\Documents\Housing-Editor\housing-editor-frontend\src\views\home\AboutPage.vue", "Vue", 0, 293, 0, 0, 0, 16, 23, 332
"c:\Users\imado\Documents\Housing-Editor\housing-editor-frontend\src\views\home\ContactPage.vue", "Vue", 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\imado\Documents\Housing-Editor\housing-editor-frontend\src\views\home\HomePage.vue", "Vue", 0, 19, 0, 0, 0, 0, 4, 23
"c:\Users\imado\Documents\Housing-Editor\housing-editor-frontend\src\views\items\EditItem.vue", "Vue", 0, 26, 0, 0, 0, 7, 3, 36
"c:\Users\imado\Documents\Housing-Editor\housing-editor-frontend\src\views\login\LinkAccount.vue", "Vue", 0, 119, 0, 0, 0, 0, 10, 129
"c:\Users\imado\Documents\Housing-Editor\housing-editor-frontend\src\views\login\LoginView.vue", "Vue", 0, 87, 0, 0, 0, 5, 7, 99
"c:\Users\imado\Documents\Housing-Editor\housing-editor-frontend\src\views\profile\DashboardPage.vue", "Vue", 0, 196, 0, 0, 0, 0, 9, 205
"Total", "-", 1012, 2888, 10, 194, 1, 203, 421, 4729
