"filename", "language", "JavaScript", "Vue", "Markdown", "CSS", "JSON", "XML", "HTML", "JSON with Comments", "comment", "blank", "total"
"c:\Users\imado\Documents\Housing-Editor\housing-editor-frontend\.eslintrc.js", "JavaScript", 18, 0, 0, 0, 0, 0, 0, 0, 0, 1, 19
"c:\Users\imado\Documents\Housing-Editor\housing-editor-frontend\README.md", "Markdown", 0, 0, 19, 0, 0, 0, 0, 0, 0, 6, 25
"c:\Users\imado\Documents\Housing-Editor\housing-editor-frontend\babel.config.js", "JavaScript", 5, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"c:\Users\imado\Documents\Housing-Editor\housing-editor-frontend\jsconfig.json", "JSON with Comments", 0, 0, 0, 0, 0, 0, 0, 8, 12, 0, 20
"c:\Users\imado\Documents\Housing-Editor\housing-editor-frontend\package-lock.json", "JSON", 0, 0, 0, 0, 33476, 0, 0, 0, 0, 1, 33477
"c:\Users\imado\Documents\Housing-Editor\housing-editor-frontend\package.json", "JSON", 0, 0, 0, 0, 67, 0, 0, 0, 0, 1, 68
"c:\Users\imado\Documents\Housing-Editor\housing-editor-frontend\public\assets\action_pad.svg", "XML", 0, 0, 0, 0, 0, 66, 0, 0, 0, 1, 67
"c:\Users\imado\Documents\Housing-Editor\housing-editor-frontend\public\assets\checkered-flag-309862.svg", "XML", 0, 0, 0, 0, 0, 4, 0, 0, 0, 1, 5
"c:\Users\imado\Documents\Housing-Editor\housing-editor-frontend\public\assets\cursor-154478.svg", "XML", 0, 0, 0, 0, 0, 7, 0, 0, 0, 1, 8
"c:\Users\imado\Documents\Housing-Editor\housing-editor-frontend\public\assets\flag_black_24dp.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\imado\Documents\Housing-Editor\housing-editor-frontend\public\assets\settings_black_24dp.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\imado\Documents\Housing-Editor\housing-editor-frontend\public\assets\sports_score_black_24dp.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\imado\Documents\Housing-Editor\housing-editor-frontend\public\assets\start_flag.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\imado\Documents\Housing-Editor\housing-editor-frontend\public\assets\volume-high.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\imado\Documents\Housing-Editor\housing-editor-frontend\public\favicons\site.webmanifest", "JSON", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\imado\Documents\Housing-Editor\housing-editor-frontend\public\index.html", "HTML", 0, 0, 0, 0, 0, 0, 26, 0, 2, 1, 29
"c:\Users\imado\Documents\Housing-Editor\housing-editor-frontend\src\App.vue", "Vue", 0, 59, 0, 0, 0, 0, 0, 0, 0, 4, 63
"c:\Users\imado\Documents\Housing-Editor\housing-editor-frontend\src\assets\about\instagram-3814059.svg", "XML", 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 2
"c:\Users\imado\Documents\Housing-Editor\housing-editor-frontend\src\assets\about\pattern-369543.svg", "XML", 0, 0, 0, 0, 0, 140, 0, 0, 0, 0, 140
"c:\Users\imado\Documents\Housing-Editor\housing-editor-frontend\src\assets\about\the-background-292720.svg", "XML", 0, 0, 0, 0, 0, 33, 0, 0, 0, 1, 34
"c:\Users\imado\Documents\Housing-Editor\housing-editor-frontend\src\assets\fonts\fontMaps.json", "JSON", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 8
"c:\Users\imado\Documents\Housing-Editor\housing-editor-frontend\src\assets\fonts\fontWidths.json", "JSON", 0, 0, 0, 0, 189, 0, 0, 0, 0, 0, 189
"c:\Users\imado\Documents\Housing-Editor\housing-editor-frontend\src\assets\logo\logo.svg", "XML", 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 19
"c:\Users\imado\Documents\Housing-Editor\housing-editor-frontend\src\assets\logo\logo_dark.svg", "XML", 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 19
"c:\Users\imado\Documents\Housing-Editor\housing-editor-frontend\src\assets\minecraft-items\items.json", "JSON", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
